check_id,crop_path,label
ac00856,outputs\part_c\crops\train\ac00856.png,اربعه الاف و سبعمايه و سته عشر ريالا و خمسه و عشرون هلله
ac01094,outputs\part_c\crops\train\ac01094.png,ثمانمايه ريال سعودي فقط
ac01500,outputs\part_c\crops\train\ac01500.png,فقط الف وستمايه ريال لا غير
ac00976,outputs\part_c\crops\train\ac00976.png,تسعه وسبعون الف وستمايه وتسعه وثلاثون ريال
ac01464,outputs\part_c\crops\train\ac01464.png,فقط سته عشر الفا وستمايه وسبعه عشر ريال لا غير
ac01125,outputs\part_c\crops\train\ac01125.png,فقط خمسه الاف و سبعمايه و اربعه و ثلاثون ريال
ac00244,outputs\part_c\crops\train\ac00244.png,خمسمايه ريالا فقط لا غير
ac01782,outputs\part_c\crops\train\ac01782.png,عشرون الف ريال لا غير
ac00500,outputs\part_c\crops\train\ac00500.png,ثلاثه الاف ريال فقط لا غير
ac00909,outputs\part_c\crops\train\ac00909.png,مايه و احد عشر الف و تسعمايه وسته عشرين ريال
ac00192,outputs\part_c\crops\train\ac00192.png,فقط الف وثلاثمايه ريال لا غير
ac01312,outputs\part_c\crops\train\ac01312.png,تسعه الاف و اربعمايه و اربعه خمسون ريال لا غير
ac00587,outputs\part_c\crops\train\ac00587.png,الف و خمسمايه ريال لا غير
ac01252,outputs\part_c\crops\train\ac01252.png,تسعه الاف ومايتان وعشرون ريال لا غير
ac01165,outputs\part_c\crops\train\ac01165.png,فقط اثنان و اربعون الف و ثلاثمايه و خمسه و خمسون ريالا لا غير
ac01561,outputs\part_c\crops\train\ac01561.png,الفان وخمسمايه وثمانيه وثمانون ريال
ac00485,outputs\part_c\crops\train\ac00485.png,فقط اربعه وعشرون الف ريال لا غير
ac01470,outputs\part_c\crops\train\ac01470.png,الف وثلاثمايه واثنين وستون ريال لا غير
ac01015,outputs\part_c\crops\train\ac01015.png,اربعه الاف ومايتين وتسع وثمانون الف
ac00895,outputs\part_c\crops\train\ac00895.png,فقط اربعه الاف ريال لا غير
ac00606,outputs\part_c\crops\train\ac00606.png,اربعه الاف وسبعمايه وسته عشر ريالا وخمسه وعشرون هلله
ac01699,outputs\part_c\crops\train\ac01699.png,فقط ثلاثمايه الف ريال لا غير
ac01032,outputs\part_c\crops\train\ac01032.png,سته الف وسبعمايه وخمسه وثلاثون ريال لا غير
ac00525,outputs\part_c\crops\train\ac00525.png,خمسه عشر الف و تسعمايه ريال لا غير
ac01488,outputs\part_c\crops\train\ac01488.png,فقط واحد مليون وثمانمايه الف ريال لا غير
ac00813,outputs\part_c\crops\train\ac00813.png,فقط ستمايه خمسه و سبعون ريال
ac00412,outputs\part_c\crops\train\ac00412.png,احدي عشره الف وخمسمايه وعشرون ريال
ac00913,outputs\part_c\crops\train\ac00913.png,الف ريال فقط
ac00189,outputs\part_c\crops\train\ac00189.png,فقط الفان وخمسمايه واثنان وعشرون ريال لا غير
ac01025,outputs\part_c\crops\train\ac01025.png,خمسه الاف ريال لا غير
ac01570,outputs\part_c\crops\train\ac01570.png,اربعه الاف وستمايه وخمس واربعون ريال
ac01604,outputs\part_c\crops\train\ac01604.png,الف واربعمايه واربعون ريالا فقط
ac00930,outputs\part_c\crops\train\ac00930.png,فقط سبعمايه وسته وسته وتسعون ريالا لار
ac00351,outputs\part_c\crops\train\ac00351.png,سته الاف و اربعمايه و سته و خمسون ريال لا غير
ac01055,outputs\part_c\crops\train\ac01055.png,خمسه عشر الف وسبعمايه وثمانون ريال فقط
ac01638,outputs\part_c\crops\train\ac01638.png,اربعمايه واثنان وسبعون ريالا
ac01765,outputs\part_c\crops\train\ac01765.png,اربعه الاف ومايه وواحد وثلاثون ريال لا غير
ac00117,outputs\part_c\crops\train\ac00117.png,الفين وثمانمايه وخمسون ريال
ac00558,outputs\part_c\crops\train\ac00558.png,ثلاثه الاف و اربعمايه و عشرون ريال فقط لا غير
ac01178,outputs\part_c\crops\train\ac01178.png,فقط اثني عشر الف و ثمانمايه و احدي عشر ريال
ac01064,outputs\part_c\crops\train\ac01064.png,اربعه وسبعون الف وواحد وثمانون ريال لا غير
ac00038,outputs\part_c\crops\train\ac00038.png,سته الاف ريال فقط لا غير
ac01329,outputs\part_c\crops\train\ac01329.png,ثلاث عشر الف وثلاثمايه وخمس وستون ريال
ac00743,outputs\part_c\crops\train\ac00743.png,ثلاثه الاف ريال لا غير
ac00059,outputs\part_c\crops\train\ac00059.png,الفان و خمسمايه ريال لا غير
ac01569,outputs\part_c\crops\train\ac01569.png,سبعه وعشرون الف وسبعمايه واثنان وثمانون ريال لا غير
ac01225,outputs\part_c\crops\train\ac01225.png,عشره الاف ريال فقط لا غير
ac01717,outputs\part_c\crops\train\ac01717.png,مايه وعشرين الف لا غير
ac00390,outputs\part_c\crops\train\ac00390.png,فقط اربعه و عشرون الف ريال لا غير
ac00153,outputs\part_c\crops\train\ac00153.png,اثنين واربعين الف وخمسمايه ريال لا غير
ac00849,outputs\part_c\crops\train\ac00849.png,الفان و ثمانون ريال لا غير
ac01181,outputs\part_c\crops\train\ac01181.png,خمسه الف ريال فقط
ac01593,outputs\part_c\crops\train\ac01593.png,فقط الف وثمانمايه ريال لا غير
ac00266,outputs\part_c\crops\train\ac00266.png,وقدره اربعه الاف و مايه و خمسه و عشرون ريال
ac00170,outputs\part_c\crops\train\ac00170.png,واحد واربعون الف وستمايه واحد عشر ريال لا غير
ac00814,outputs\part_c\crops\train\ac00814.png,فقط الف و اربعمايه و اثنان و سبعون ريال لا غير
ac00521,outputs\part_c\crops\train\ac00521.png,فقط اربعه الاف و مايه و خمسون ريال لا غير
ac00382,outputs\part_c\crops\train\ac00382.png,سته الاف و مايتين و اربعون ريال
ac01688,outputs\part_c\crops\train\ac01688.png,الف وثلاثمايه وخمسه واربعون ريال فقط
ac00207,outputs\part_c\crops\train\ac00207.png,فقط الف وتسعمايه و احدي عشر ريال لا غير
ac01512,outputs\part_c\crops\train\ac01512.png,ستمايه وثلاثون ريال لا غير
ac01746,outputs\part_c\crops\train\ac01746.png,خمسه عشر الف ريال فقط لا غير
ac01707,outputs\part_c\crops\train\ac01707.png,خمسون الف ريال لا غير
ac00552,outputs\part_c\crops\train\ac00552.png,فقط تسعه عشر الف و خمسمايه ريال
ac00605,outputs\part_c\crops\train\ac00605.png,فقط اثني عشره الف و تسعمايه اثنان و عشرون ريال لا غير
ac01030,outputs\part_c\crops\train\ac01030.png,ثمانيه وعشرون الف وسبعمايه وثلاثه عشر ريال لا غير
ac00381,outputs\part_c\crops\train\ac00381.png,اثني عشر الف و ثمانمايه و ثمانون ريال
ac00034,outputs\part_c\crops\train\ac00034.png,ثلاثه الاف و ستمايه و اثنان و عشرون ريال لا غير
ac01045,outputs\part_c\crops\train\ac01045.png,خمسه الاف ومايه وخمسه واربعون ريال
ac01725,outputs\part_c\crops\train\ac01725.png,فقط خمسه وعشرون ومايه وتسعه وثلاثون ريال لا غير
ac00782,outputs\part_c\crops\train\ac00782.png,خمسه الف وخمسمايه ريال
ac00101,outputs\part_c\crops\train\ac00101.png,قدره الف وتسعمايه وخمسه وخمسون ريال
ac01088,outputs\part_c\crops\train\ac01088.png,ثلاثه الاف وثلاثمايه واربعه وعشرون
ac00725,outputs\part_c\crops\train\ac00725.png,خمس وسبعون الفا واربعمايه وواحد وعشرون ريال واربع وعشرون هلله
ac00196,outputs\part_c\crops\train\ac00196.png,فقط تسعه الاف واربعمايه وسته ريال
ac01656,outputs\part_c\crops\train\ac01656.png,فقط الفين وخمسمايه واثنين وستون ريال لا غير
ac00956,outputs\part_c\crops\train\ac00956.png,ثلاثه الاف و مايه ريال سعودي
ac00238,outputs\part_c\crops\train\ac00238.png,فقط الف و خمسمايه و تسعون ريال
ac00297,outputs\part_c\crops\train\ac00297.png,ثلاثه الاف ريال لا غير
ac01545,outputs\part_c\crops\train\ac01545.png,فقط الف وخمسمايه واربعون ريال لا غير
ac01215,outputs\part_c\crops\train\ac01215.png,عشرون الف ريال فقط
ac00008,outputs\part_c\crops\train\ac00008.png,فقط الف و مايتان و خمسون ريال لا غير
ac00284,outputs\part_c\crops\train\ac00284.png,ثمانيه و عشرون الف ريال لا غير
ac00413,outputs\part_c\crops\train\ac00413.png,ثلاثه الاف واربعمايه وواحد وتسعون ريالا
ac00022,outputs\part_c\crops\train\ac00022.png,سته الاف و اثنين ريال و خمسون هلله
ac00553,outputs\part_c\crops\train\ac00553.png,اربعه الاف و ثلاثمايه و اثنان و عشرون ريال
ac01271,outputs\part_c\crops\train\ac01271.png,الف وسته وثمانون ريال
ac00647,outputs\part_c\crops\train\ac00647.png,فقط ستمايه وخمسه واربعون ريال لا غير
ac00640,outputs\part_c\crops\train\ac00640.png,االف وثمانون ريال لا غير
ac00245,outputs\part_c\crops\train\ac00245.png,فقط ثلاثمايه الف ريال لا غير
ac00111,outputs\part_c\crops\train\ac00111.png,الف ومايه واربعون ريالا وواحد وستون هلله لا غير
ac00683,outputs\part_c\crops\train\ac00683.png,سته وسبعون الف ومايه وثمانيه وعشرين ريال فقط لا غير
ac01739,outputs\part_c\crops\train\ac01739.png,خمسه وعشرون الف ريال لا غير
ac00205,outputs\part_c\crops\train\ac00205.png,سبعه وخمسون الف وخمسمايه وسته ريال
ac00919,outputs\part_c\crops\train\ac00919.png,خمسه عشر الف ومايه وست وعشرون ريال
ac01390,outputs\part_c\crops\train\ac01390.png,اربعه الاف ريالا لا غير
ac01021,outputs\part_c\crops\train\ac01021.png,الفان وستمايه وخمسه وعشرون ريال لا غير
ac00442,outputs\part_c\crops\train\ac00442.png,وقدره اربعمايه الف ريال فقط لا غير
ac00599,outputs\part_c\crops\train\ac00599.png,عشرون الف و ستمايه و اربعه و تسعون ريال
ac00656,outputs\part_c\crops\train\ac00656.png,فقط اثنين وستون الف وسبعمايه واحد وثمانون ريال لا غير
ac00993,outputs\part_c\crops\train\ac00993.png,سته الاف وخمسمايه ريال لا غير
ac01715,outputs\part_c\crops\train\ac01715.png,فقط ثمانيه الاف ومايتان وخمسون ريال لا غير
ac01591,outputs\part_c\crops\train\ac01591.png,فقط سته الاف وستمايه وثمانون ريال 54 100 ه
ac00567,outputs\part_c\crops\train\ac00567.png,فقط الفان ريال لا غير
ac00758,outputs\part_c\crops\train\ac00758.png,قدره اربعه الاف وخمسمايه واثنان وخمسون ريال
ac01730,outputs\part_c\crops\train\ac01730.png,خمسه عشر الف ريال فقط
ac00009,outputs\part_c\crops\train\ac00009.png,ثمانيه الاف ريال فقط
ac01116,outputs\part_c\crops\train\ac01116.png,عشرون الف ريال فقط لا غير
ac00478,outputs\part_c\crops\train\ac00478.png,ستمايه واربعه وسبعون ريال
ac01602,outputs\part_c\crops\train\ac01602.png,فقط مايه وعشره الف ريال لا غير
ac01592,outputs\part_c\crops\train\ac01592.png,فقط الف ومايه ريال لا غير
ac01740,outputs\part_c\crops\train\ac01740.png,خمسه عشر الف وستمايه ريال فقط
ac01714,outputs\part_c\crops\train\ac01714.png,فقط سبعه الاف وتسعمايه وعشرون ريال لا غير
ac01505,outputs\part_c\crops\train\ac01505.png,فقط تسعه عشر الف ريال لا غير
ac00983,outputs\part_c\crops\train\ac00983.png,فقط خمسمايه ريال
ac00399,outputs\part_c\crops\train\ac00399.png,فقط الف و سته ريالات لا غير
ac00081,outputs\part_c\crops\train\ac00081.png,واحد و ثمانون الف و خمسمايه و ثمانيه و ثلاثون ريال لا غير
ac00935,outputs\part_c\crops\train\ac00935.png,ثلاث الاف وتسعمايه ريال فقط لا غير
ac00176,outputs\part_c\crops\train\ac00176.png,اربعه الاف وسبعمايه وخمسون ريال
ac00186,outputs\part_c\crops\train\ac00186.png,وقدره الفان واربعمايه وواحد وخمسون
ac01758,outputs\part_c\crops\train\ac01758.png,مايه وسبع وعشره الف وثمانمايه ريال لا غير
ac00962,outputs\part_c\crops\train\ac00962.png,خمسه الف و سبعمايه ثلاثه وثمانون ريال لا غير
ac00253,outputs\part_c\crops\train\ac00253.png,الف و مايتان و اربعون ريال فقط
ac01284,outputs\part_c\crops\train\ac01284.png,سته عشر الف وثمانون ريال فقط
ac00449,outputs\part_c\crops\train\ac00449.png,فقط واحد مليون ريال لا غير
ac00391,outputs\part_c\crops\train\ac00391.png,سبعه عشر الف و ثمانمايه و ستون ريالا فقط لا غير
ac01317,outputs\part_c\crops\train\ac01317.png,لاثه الاف و اربعمايه و خمس تسعون ريال
ac00304,outputs\part_c\crops\train\ac00304.png,فقط الفان و سبعمايه ريال لا غير
ac00058,outputs\part_c\crops\train\ac00058.png,فقط اربعه الاف و ثمانمايه و سبعه و تسعون ريال لا غير
ac01011,outputs\part_c\crops\train\ac01011.png,عشرون الف ريال لا غير
ac00047,outputs\part_c\crops\train\ac00047.png,فقط تسعه الاف و مايه و عشرون ريال لا غير
ac00705,outputs\part_c\crops\train\ac00705.png,فقط اربعه الاف وميتان ريال لا غير
ac00310,outputs\part_c\crops\train\ac00310.png,فقط ثلاثمايه الف ريال لا غير
ac00172,outputs\part_c\crops\train\ac00172.png,ست وثلاثون الف وستمايه وواحد وسبعون ريال
ac00462,outputs\part_c\crops\train\ac00462.png,ستمايه وسته عشر ريال لا غير
ac00629,outputs\part_c\crops\train\ac00629.png,ثمانيه الاف وخمسون ريال لا غير
ac00102,outputs\part_c\crops\train\ac00102.png,فقط الف ومايتان واثنان وعشرون ريال لا غير
ac00452,outputs\part_c\crops\train\ac00452.png,فقط مايه وثمانون الف وتسعمايه واربعه عشره ريال لا غير
ac00094,outputs\part_c\crops\train\ac00094.png,فقط مايه و خمسه و سبعون الف و مايه و خمسه و اربعون ريال لا غير
ac00922,outputs\part_c\crops\train\ac00922.png,فقط خمسه وعشرون الف ريال لا غير
ac00709,outputs\part_c\crops\train\ac00709.png,سبعون الف ومايتين ريال
ac00243,outputs\part_c\crops\train\ac00243.png,الفان و مايه و خمسون ريال
ac00071,outputs\part_c\crops\train\ac00071.png,اربعه الف و تسعمايه و سبعه و خمسون ريال
ac00036,outputs\part_c\crops\train\ac00036.png,فقط اربعه عشر الف و ستمايه ريال لا غير
ac00562,outputs\part_c\crops\train\ac00562.png,تسعه و ثلاثون الف و ستمايه ريال
ac01764,outputs\part_c\crops\train\ac01764.png,فقط تسعمايه واثنين وعشرون ريال لا غير
ac00329,outputs\part_c\crops\train\ac00329.png,فقط سبعه الاف و واحد و ثلاثون ريال لا غير
ac00925,outputs\part_c\crops\train\ac00925.png,ثلاثه الف واربعمايه وتسعون ريال
ac01180,outputs\part_c\crops\train\ac01180.png,فقط عشره الاف و ثلاثمايه ريال
ac00342,outputs\part_c\crops\train\ac00342.png,مايه الف وسبعه الاف و ثمانمايه ريال
ac01748,outputs\part_c\crops\train\ac01748.png,اربعه الاف وخمسايه ريال لا غير
ac01428,outputs\part_c\crops\train\ac01428.png,فقط عشره الاف ريال لا غير
ac00352,outputs\part_c\crops\train\ac00352.png,ثلاثه الاف و ثلاثمايه و واحد و ثمانون ريال
ac01399,outputs\part_c\crops\train\ac01399.png,سته الاف واربعمايه واحد و ثلاثون ريال و خمسه و عشرون هلله فقط
ac00906,outputs\part_c\crops\train\ac00906.png,ثلاثه الاف و ثمان مايه و ثمانيه و خمسون ريالا و خمسه و سبعون هلله
ac01671,outputs\part_c\crops\train\ac01671.png,ثمانيه عشر الف وسبعمايه وثمانيه وستون ريال
ac01355,outputs\part_c\crops\train\ac01355.png,الف ومايه ريال فقط لا غير
ac00427,outputs\part_c\crops\train\ac00427.png,وقدره عشرع الاف ريال
ac00149,outputs\part_c\crops\train\ac00149.png,سته الاف وثمانمايه ريال
ac00015,outputs\part_c\crops\train\ac00015.png,الف و ريال واحد فقط
ac01297,outputs\part_c\crops\train\ac01297.png,فقط خمسه عشر الف وخمسمايه ريال لا غير
ac01670,outputs\part_c\crops\train\ac01670.png,واحد وثلاثون الف وستمايه ريال فقط
ac00703,outputs\part_c\crops\train\ac00703.png,فقط ثلاثه الاف وخمسمايه وثمانيه وعشرون ريال لا غير
ac00458,outputs\part_c\crops\train\ac00458.png,فقط تسعمايه ريال لا غير
ac00926,outputs\part_c\crops\train\ac00926.png,عشره الاف ريال لا غير دفعه
ac00345,outputs\part_c\crops\train\ac00345.png,ثمانيه الاف و خمسمايه ريال
ac00612,outputs\part_c\crops\train\ac00612.png,فقط خمسه الاف وتسعمايه وثلاثه عشر ريال لا غير
ac01775,outputs\part_c\crops\train\ac01775.png,فقط اثنتان وسبعون الف ريال لا غير
ac00908,outputs\part_c\crops\train\ac00908.png,فقط تسعه الاف و ثمانمايه و تسعه و عشرون ريال لا غير
ac00979,outputs\part_c\crops\train\ac00979.png,الف وثلاثمايه وسته واربعون ريال و 37 100 هلله
ac00742,outputs\part_c\crops\train\ac00742.png,فقط الف وثمانمايه وخمسه وثلاثون ريال لا غير
ac01197,outputs\part_c\crops\train\ac01197.png,فقط الفان و خمسمايه و خمسه و خمسون ريال لا غير
ac01299,outputs\part_c\crops\train\ac01299.png,فقط تسعه الاف ومايتان وخمسون ريال لا غير
ac00398,outputs\part_c\crops\train\ac00398.png,فقط الف و ثلثمايه و واحد و تسعون ريال لا غير
ac01037,outputs\part_c\crops\train\ac01037.png,الفان وخمسمايه وعشرون ريال
ac01427,outputs\part_c\crops\train\ac01427.png,ثلاثه وعشرون الف ريال لا غير
ac00044,outputs\part_c\crops\train\ac00044.png,فقط ثمانيه و ثلاثون الف و خمسمايه ريالا لا غير
ac00428,outputs\part_c\crops\train\ac00428.png,الف ريال فقط لا غير
ac01417,outputs\part_c\crops\train\ac01417.png,الف وسبعمايه وخمسه عشر ريال لا غير
ac01100,outputs\part_c\crops\train\ac01100.png,الفان ومايتان واربعون ريال لا غير
ac01163,outputs\part_c\crops\train\ac01163.png,اربعمايه و ثمانون ريالا فقط
